"Organization","DynCount","FuncCount","DecCount"
andrewrothstein,"0","5","1"
andrewschenck,"0","1","11"
andrewsnowden,"8","3","12"
andrewsomething,"15","17","10"
AndrewWalker,"3","29","39"
AndrewWasHere,"0","1","1"
andrewyoung1991,"1","116","4"
andrewzwicky,"0","3","1"
andreymal,"50","216","198"
AndreyPopovNew,"47","95","34"
andriyko,"2","7","54"
andriykohut,"0","12","2"
androbwebb,"3","17","34"
androguard,"0","19","2"
android,"5","2","6"
android-dtf,"3","1","1"
AndroidHooker,"0","1","69"
andsor,"5","21","16"
andybalaam,"3","11","150"
andycasey,"7","40","50"
andychase,"1","22","5"
andydude,"19","5","1"
andyfangdz,"2","4","7"
andyholmes,"14","20","10"
andymccurdy,"0","12","9"
andymeneely,"0","63","37"
andysalerno,"0","4","4"
andytwoods,"2","1","5"
Aneesh540,"0","4","5"
AnemoneLabs,"1","47","24"
anfederico,"1","9","1"
anfema,"11","7","2"
angea,"3","14","1"
AngelMunoz,"0","2","10"
angelsanz,"0","6","10"
AngelTerrones,"0","60","33"
angelzouxin,"0","23","3"
angr,"160","476","676"
angstromctf,"2","3","5"
angstwad,"3","4","3"
angvp,"4","1","1"
anhaidgroup,"2","44","4"
anhnv-3991,"12","41","11"
anidata,"3","1","12"
animalize,"4","13","55"
AnimeshShaw,"0","2","3"
Aninstance,"32","13","1"
anishathalye,"11","33","10"
anitagraser,"13","28","34"
anjishnu,"3","19","11"
ankane,"0","3","8"
ankitaggarwal011,"0","2","1"
ankraft,"0","1","20"
ANLAB-KAIST,"0","17","7"
anlthms,"0","33","2"
anmitsu,"8","20","12"
anne-urai,"0","1","5"
annoviko,"0","175","186"
anntzer,"1","3","1"
annulen,"3","57","26"
anokata,"24","79","21"
anomaly,"33","5","165"
Anomareh,"1","4","16"
Anoncoin,"0","6","2"
anoopkunchukuttan,"0","53","9"
Anorov,"2","7","5"
anossov,"4","6","5"
anqxyr,"23","160","34"
ANR-COMPASS,"17","48","18"
anselal,"0","13","9"
ansible,"62","140","112"
Answeror,"57","241","174"
Answers4AWS,"3","8","11"
Antar1011,"6","54","1"
antechrestos,"16","104","58"
Antergos,"37","125","167"
anthok,"0","11","9"
anthonyalmarza,"8","7","3"
AnthonyBriggs,"36","119","7"
AnthonyDiGirolamo,"0","14","5"
anthonyheddings,"2","21","17"
anthonyjgatti,"0","11","1"
AnthonyMRios,"5","14","14"
anthonypdawson,"29","59","13"
anthonywu,"0","1","2"
anthraxx,"41","141","117"
anti-social,"18","83","17"
anti1869,"2","3","2"
antiboredom,"0","15","7"
antidasoftware,"0","3","12"
antidot,"40","11","41"
antingshen,"1","4","19"
antitoine,"0","4","2"
Antiun,"7","10","5"
antmd,"19","24","1"
antocuni,"0","5","1"
AntoineCezar,"0","1","1"
AntoinePassemiers,"0","1","1"
AntoineToubhans,"0","25","3"
antoneri,"0","3","5"
antonior92,"0","1","9"
AntonKueltz,"0","3","21"
antonrh,"7","18","20"
antonxy,"1","5","1"
AntreasAntoniou,"3","17","9"
ANTsX,"0","26","8"
anttttti,"12","50","2"
anubhavshrimal,"0","42","1"
anurag90x,"13","4","8"
Anve94,"0","2","3"
AnykeyNL,"0","1","1"
AnyMesh,"5","10","1"
AoiKuiyuyou,"8","8","2"
aoldoni,"5","25","6"
aolle,"0","1","1"
AOSC-Dev,"2","14","5"
aosingh,"3","4","1"
aosp-mirror,"11","30","16"
aothms,"10","67","4"
AOtools,"2","3","9"
ap--,"5","3","6"
apacha,"1","44","24"
apache,"392","1635","1980"
apache-spark-on-k8s,"9","38","57"
aparafita,"24","84","9"
aparo,"49","50","3"
Ape,"0","2","2"
APE-Project,"0","1","2"
apenwarr,"11","29","18"
apertus-open-source-cinema,"4","6","3"
apeyser,"2","6","2"
apg,"0","1","1"
apiaryio,"10","39","14"
apiguy,"18","7","14"
apirobot,"5","6","5"
aplanas,"25","71","7"
aploium,"19","3","24"
Aplopio,"24","31","21"
apmechev,"0","18","13"
apolloliu,"5","6","5"
apologist,"1","1","1"
apoorva-sharma,"0","25","4"
apoorvrajsaxena,"0","2","2"
app-registry,"8","4","54"
appdotnet,"66","45","42"
Appdynamics,"0","1","1"
AppEnlight,"8","28","2"
appfolio,"7","6","5"
APPIAN-PET,"0","29","1"
appier,"0","1","1"
ApplauseOSS,"9","6","10"
apple,"1","17","42"
appleseedhq,"19","13","47"
Applied-GeoSolutions,"16","67","46"
applied-mixnetworks,"0","18","1"
appsembler,"9","59","1"
ApptuitAI,"1","22","2"
appu1232,"1","16","7"
appuio,"2","18","9"
apriha,"0","5","5"
APSL,"23","11","128"
aptivate,"26","89","15"
apuapaquola,"1","12","1"
Aquafina-water-bottle,"8","25","19"
aquametalabs,"5","8","4"
aquavitae,"10","35","12"
ar0551,"1","5","3"
ar4k,"2","12","15"
ar4s,"0","6","2"
ArabellaTech,"106","28","34"
arabiaweather,"0","6","4"
Arabidopsis-Information-Portal,"7","23","3"
arachnid42,"0","5","4"
arachnidlabs,"0","4","3"
arachsys,"0","3","1"
araddon,"4","3","1"
aragos,"143","132","140"
AragurDEV,"0","6","39"
araichev,"16","29","4"
araile,"8","31","2"
araith,"10","19","2"
aranchelk,"1","28","16"
aranega,"16","19","35"
arasdar,"5","39","4"
arbalet-project,"0","1","6"
arbel03,"0","5","5"
arbylee,"6","15","33"
arc90,"0","11","6"
arcade-lab,"1","10","38"
ArcaniteSolutions,"53","68","83"
