"Organization","DynCount","FuncCount","DecCount"
analyseuc3m,"221","441","546"
analysiscenter,"23","107","176"
analyst-collective,"18","74","392"
anandology,"85","53","46"
Anantuo,"6","2","0"
anaruse,"133","474","83"
anatolikalysch,"1","33","36"
AnCh7,"5","16","2"
anchore,"35","254","220"
ANCIR,"2","23","7"
and3rson,"19","22","10"
and800,"2","3","0"
Andargor,"1","1","0"
andb0t,"1","13","0"
andela,"13","22","45"
andela-sjames,"9","10","20"
andelf,"2","1","0"
andersbll,"10","76","47"
andersinno,"24","51","70"
andersroos,"16","67","46"
andialbrecht,"6","85","11"
andikleen,"5","15","16"
andimiller,"2","1","0"
andir,"1","1","0"
andmatand,"3","10","21"
andre-martins,"2","74","0"
andreafrancia,"3","77","86"
AndreaOrru,"4","9","51"
andreas-p,"77","12","54"
andreasjansson,"2","8","0"
AndreasMadsen,"2","20","2"
andreasvc,"2","73","3"
andreasWallner,"3","11","1"
andreax79,"12","5","3"
andrecunha,"6","137","18"
andrei-shabanski,"3","5","2"
andreif,"1","10","2"
andreikop,"18","138","39"
andreisavu,"3","13","20"
andrelucas,"7","10","6"
andrepl,"4","6","5"
Andres-Hernandez,"1","3","0"
Andrew-Shay,"1","2","0"
andrewchambers,"2","31","7"
andrewdarmawan,"2","9","3"
andrewdodd,"3","2","11"
andrewebdev,"21","15","4"
andrewf,"5","9","4"
andrewgodwin,"4","8","13"
andrewguy,"1","35","0"
AndrewGYork,"1","12","0"
AndrewIngram,"10","5","0"
andrewjrobinson,"4","6","16"
AndrewPashkin,"4","17","9"
AndrewReynen,"2","41","0"
andrewshadura,"2","13","0"
andrewsnowden,"8","3","12"
andrewsomething,"15","17","10"
AndrewWalker,"3","29","39"
andrewyoung1991,"1","116","4"
andreyfedoseev,"4","2","0"
andreymal,"45","66","111"
AndreyPopovNew,"47","95","34"
andriyko,"2","7","54"
androbwebb,"3","17","34"
android,"5","2","6"
android-dtf,"3","1","1"
andsor,"5","21","16"
andybalaam,"3","11","150"
andycasey,"7","40","50"
andychase,"1","22","5"
andydandy74,"80","145","0"
andydude,"19","5","1"
andyet,"3","1","0"
andyfangdz,"2","4","7"
andyholmes,"14","20","10"
andytwoods,"2","1","5"
andywalden,"2","5","0"
AnemoneLabs,"1","47","24"
anentropic,"2","5","0"
anfederico,"1","9","1"
anfema,"11","7","2"
angea,"3","14","1"
angr,"160","476","676"
angstromctf,"2","3","5"
angstwad,"3","4","3"
angus-ai,"1","6","0"
angvp,"4","1","1"
anhaidgroup,"2","44","4"
anhnv-3991,"12","42","11"
anidata,"3","1","12"
aniketsingh777,"6","2","0"
Aninstance,"32","13","1"
anishathalye,"11","33","10"
anitagraser,"13","28","34"
anjianshi,"1","14","0"
anjishnu,"3","19","11"
anjos,"1","5","0"
ankitpopli1891,"8","6","0"
ankonzoid,"1","13","0"
anmitsu,"8","20","12"
anntzer,"1","3","1"
annulen,"3","57","26"
anokata,"22","35","17"
anomaly,"33","5","165"
Anomareh,"1","4","16"
anomen-s,"1","86","0"
Anorov,"2","7","5"
anossov,"4","6","4"
anqxyr,"22","159","29"
ANR-COMPASS,"17","48","18"
anrl,"23","90","0"
ansible,"62","140","112"
Answeror,"54","206","146"
Answers4AWS,"3","8","11"
AntagonistHQ,"19","17","39"
Antar1011,"6","54","1"
antcc,"1","3","0"
antechrestos,"16","104","58"
Antergos,"37","125","167"
anthony-mills,"2","20","0"
anthony-tresontani,"2","2","0"
anthonyalmarza,"8","7","3"
AnthonyBriggs,"36","119","7"
anthonyheddings,"2","21","17"
AnthonyMRios,"5","14","14"
anthonypdawson,"29","59","13"
anthonyserious,"2","2","0"
anthraxx,"41","141","117"
anti-social,"18","83","17"
anti1869,"2","3","2"
antidot,"40","11","41"
antillie,"3","1","0"
antingshen,"1","4","19"
Antiun,"7","10","5"
antkillerfarm,"6","12","0"
antmd,"19","24","1"
antoine77340,"1","15","0"
antoinecarme,"14","60","0"
AntonelliLab,"7","57","0"
antonrh,"7","18","20"
antonycourtney,"2","5","0"
AntreasAntoniou,"3","17","9"
anttttti,"12","50","2"
anurag90x,"13","4","8"
anuragkumarak95,"1","3","0"
anxdpanic,"2","8","5"
anybox,"7","18","3"
AnyMesh,"5","10","1"
anysz,"5","4","0"
AoiKuiyuyou,"8","8","2"
aoldoni,"5","25","6"
aolieman,"1","3","0"
AOSC-Dev,"2","14","5"
aosingh,"3","4","1"
aosp-mirror,"11","30","16"
aothms,"10","67","4"
AOtools,"2","3","9"
aouyar,"1","17","0"
ap--,"5","3","6"
apacha,"1","44","24"
apache,"402","1651","2012"
apache-spark-on-k8s,"9","38","57"
apaeffgen,"1","6","0"
apandada1,"7","6","0"
aparo,"49","50","3"
aparrish,"4","13","0"
apassant,"1","4","0"
apel,"3","99","0"
apenwarr,"11","29","18"
apertus-open-source-cinema,"4","6","3"
apeyser,"2","6","2"
apiaryio,"10","39","14"
apigee,"1","1","0"
apiguy,"18","7","14"
apirobot,"5","6","5"
apitrace,"1","13","0"
aplanas,"25","71","7"
Aplopio,"24","31","21"
apmckinlay,"2","22","0"
apmoore1,"2","8","0"
Apoc2400,"2","5","0"
apolloliu,"5","6","5"
apologist,"1","1","1"
ApoorvaJ,"4","2","0"
app-registry,"8","4","54"
appcelerator,"13","1","0"
appdotnet,"66","45","42"
AppEnlight,"8","28","2"
appfolio,"7","6","5"
appium,"2","7","0"
ApplauseOSS,"9","6","10"
apple,"1","17","42"
appleseedhq,"20","13","47"
Applied-GeoSolutions,"16","67","46"
applitools,"22","28","44"
apporc,"1","2","0"
approach0,"2","4","0"
approvals,"1","12","11"
appsembler,"9","59","1"
ApptuitAI,"1","22","2"
appu1232,"1","16","7"
appuio,"2","18","9"
APSL,"23","11","128"
Apstra,"4","7","0"
