"Organization","DynCount","FuncCount","DecCount"
flectra-hq,"189","4062","444"
flinteger,"0","2","2"
flipdot,"2","9","41"
Flux-Inc,"7","4","2"
fomightez,"1","34","3"
fonol,"35","263","70"
fonttools,"920","1276","196"
FooBarShebang,"11","0","10"
foreastbtch,"0","10","6"
forestagostinelli,"0","17","8"
formatc1702,"0","23","11"
fossasia,"2","26","48"
fountain-y,"89","625","94"
fpemud-os,"16","8","92"
franciscovillaescusa,"6","10","5"
frappe,"8","68","17"
FreakyDug,"8","38","24"
fregataa,"2","3","1"
freqtrade,"75","319","208"
frida,"0","52","6"
FrivolousEngineering,"13","38","59"
FSecureLABS,"10","78","73"
FTEC-6v99,"0","18","3"
fulcrum1378,"0","0","1"
fusecloud,"0","122","273"
Fyssion,"21","108","72"
galenliu,"14","17","27"
Gallopsled,"144","187","308"
GamestonkTerminal,"72","436","397"
GammaIntelligenceTraining,"1","27","7"
ganga-devs,"634","610","411"
gaoaolei,"0","0","5"
garciart,"0","1","21"
GareevaAlice,"0","4","16"
Garmelon,"2","56","49"
Garulf,"0","0","3"
garyljj,"40","133","13"
GCGImdea,"0","259","56"
gchrupala,"1","40","7"
geerlingguy,"2","0","4"
Geiright,"0","30","3"
GeneralBot-developer,"25","26","83"
geohot,"11","169","27"
georgealton,"0","4","4"
GeoscienceAustralia,"14","155","17"
Ghotome,"622","1067","796"
giampaolo,"198","185","242"
gil9red,"17","290","57"
GiliardGodoi,"0","8","1"
GimelStudio,"2","11","40"
gimhanul,"0","0","1"
GitTeaching,"0","4","2"
Giyn,"9","30","2"
gjf2a,"0","77","2"
gk-d-arana,"0","2","9"
GlacioHack,"14","71","28"
glato,"34","54","217"
gmarciani,"35","174","14"
goauthentik,"61","58","268"
gogo12235LYH,"0","28","5"
goldsmith,"22","14","18"
google,"486","6639","1127"
google-research,"9","57","34"
googleapis,"26","19","20"
GoogleCloudPlatform,"9","460","54"
gorakhargosh,"25","72","76"
gradio-app,"1","167","35"
grantjenks,"8","78","129"
graphql-python,"140","438","284"
great-expectations,"217","1011","1011"
greenbone,"0","0","28"
greenFantasy,"1","12","1"
gregbreese,"0","29","23"
Grupo6-PI,"1535","2512","2240"
guardicore,"15","194","622"
gunthercox,"27","69","12"
Gustavo-F,"0","1","1"
guywilsonjr,"0","7","9"
GXLW,"0","2","2"
gyuha,"0","0","2"
gzz2013,"622","1067","796"
h3x4d1v1n3,"668","965","735"
hack4impact,"0","2","31"
hadi-alnehlawi,"0","2","12"
hadtrindade,"1","3","18"
haesleinhuepf,"1","8","1"
Hains,"231","505","153"
haiwen,"354","373","332"
hakonmh,"4","12","4"
HaleyAllen,"0","0","10"
hanimohsen31,"0","0","6"
hankyul2,"2","15","7"
hanyuanh,"1","3","7"
haoheliu,"6","13","3"
hapiel,"0","5","2"
harrystech,"13","214","105"
haskellcamargo,"6","42","17"
hayeong-DV,"1260","1319","1246"
HazyResearch,"64","162","164"
hbstarjason2021,"1","1","1"
HDFGroup,"1","10","38"
heartexlabs,"66","113","106"
heavens420,"915","1246","1606"
HeavensExperience,"1213","1213","930"
heheheliu,"621","1066","796"
heidenrei,"0","208","26"
heijp06,"3","62","29"
HentaiOusama,"0","0","5"
Hero57Luna,"1983","3814","1927"
heuer,"4","116","1"
Hgxegz1,"0","0","4"
hhatto,"59","73","32"
hhyo,"0","6","5"
hiepbkhn,"0","225","7"
Hieucaohd,"10","11","21"
HIPS,"9","935","64"
histocartography,"49","67","72"
histolab,"8","43","53"
HJLebbink,"44","316","3"
hknaydin,"92","169","22"
hmkim199,"329","475","359"
hmmlearn,"7","8","3"
hochschule-darmstadt,"0","0","3"
HogeFinance,"1242","2186","1592"
hokuseihal,"2","17","9"
holyandy97,"0","0","13"
home-assistant,"852","3575","12873"
horovod,"82","638","122"
houtianze,"0","8","19"
hp-196,"200","445","357"
hrmtk,"0","1","3"
hse-cs-ami,"0","6","1"
HsuChihwei,"0","1","1"
htlemke,"13","118","14"
httpie,"23","88","30"
hugapi,"128","46","56"
huggingface,"1146","2756","3391"
hugsy,"9","17","13"
hungrybirder,"3","17","4"
huoyan298,"4","6","2"
HXSecurity,"0","5","3"
hydrastro,"4","7","109"
hylang,"59","84","34"
hyperopt,"35","228","82"
HypothesisWorks,"278","1184","367"
i-RIC,"30","130","9"
i2mint,"8","33","67"
iamLiquidX,"4","5","19"
iamreallykal,"0","0","6"
ianloron00,"0","16","3"
IBArbitrary,"3","18","5"
ifzhang,"31","110","11"
iggeorgiev1979,"0","315","31"
ignasrum,"1","0","6"
igorzamyslov,"0","12","5"
iinsouciant,"0","0","1"
Ikosse,"0","6","44"
Ilya-koala,"2","2","6"
imflash217,"0","14","2"
IMIO,"12","2","5"
immijimmi,"0","23","11"
import-brain,"0","4","1"
ImranRahimov1995,"0","0","1"
ImTheekshana126,"22","26","273"
Incuvers,"9","55","107"
IneshJupudy,"1194","1582","5963"
info-ruc,"0","30","7"
InhoStudios,"622","1073","733"
InnerReailty,"0","1","5"
insilications,"31","348","185"
instillai,"0","10","3"
InteligentneSystemyAutonomiczneIIS,"5","17","21"
intermine,"1","19","5"
ipc-lab,"0","2","2"
iqm-finland,"0","1","1"
iReivax1,"27","56","171"
ironsmile,"0","2","4"
isnowfy,"4","25","8"
IsraaAhmad,"1689","2550","2205"
iteamurr,"0","1","2"
iterative,"65","486","559"
ithansiyeon,"1038","2365","935"
itswcl,"0","0","11"
ivasilyev,"0","64","73"
ivre,"56","517","514"
iwsylit,"0","10","8"
jacebrowning,"1","4","4"
jackfrued,"0","25","12"
jaialarcon,"0","0","5"
jair001,"381","297","388"
james-menzies,"0","0","1"
jancajthaml-openbank,"0","24","1"
Jaquelinesa82,"0","0","3"
jareddantis,"9","15","5"
jarun,"31","49","1"
Jaseci-Labs,"222","10","6"
JasonGross,"0","0","1"
jasonwashburn,"0","0","2"
jasperproject,"8","50","48"
jazzband,"66","76","96"
jbarlow83,"20","81","141"
jbemmel,"14","34","70"
jbogaardt,"18","34","11"
jbold569,"3","3","2"
JBorchelli,"0","6","241"
jcjohnson,"0","0","2"
jcnazareno18,"146","109","50"
jconstancio,"262","218","371"
jdbalantar,"0","6","2"
jdvelasq,"0","249","5"
jedi-gg,"5","3","3"
jediwirr,"158","120","77"
jeffharwell,"0","74","9"
jeffreykirchner,"3","50","46"
jelambrar96,"0","0","2"
jesse-c,"3","18","5"
Jetsurf,"1","22","8"
jgci2000,"0","8","13"
Jgoschke86,"8","73","88"
jhliu17,"2","8","45"
jiaaro,"4","27","37"
jihun-yoon,"3","4","5"
Jimut123,"0","9","6"
jina-ai,"231","662","511"
jindongwang,"12","124","15"
jisaacks,"4","51","14"
jkpr,"0","19","5"
jldj1,"0","0","17"
Jlukka,"0","2","1"
jmura84,"618","1075","723"
jnj,"1","12","20"
joankirui,"966","1462","1175"
joaocarlos-losfe,"0","0","28"
joared,"0","30","1"
joelgrus,"4","596","1"
jofpin,"21","8","10"
jofurdz,"0","5","20"
johann-su,"0","6","1"
john-itcsolutions,"0","0","12"
JohnBarton27,"0","0","29"
JohnPaul-Londono,"0","0","3"
johschmitz,"0","6","8"
JonathanCasey,"5","78","33"
jonhealy1,"0","0","1"
jopohl,"101","400","669"
jorisschellekens,"8","542","56"
JoshChangGit,"0","0","1"
jotate70,"12","92","9"
jouleSoft,"3","18","5"
jpadilla,"6","4","74"
jquetzalcoatl,"0","4","2"
jrduncan1,"0","0","9"
jrnl-org,"42","55","58"
jsleeg98,"32","92","13"
json1c,"0","16","5"
Jtang-1,"0","0","4"
juan45202,"826","1288","1026"
JuanFariasGit,"0","1","1"
juanique,"0","1","4"
Jugendhackt,"0","3","1"
juhuio2003,"3","113","3"
jujutsunanami,"4","11","1"
julianramirezch,"1","11","10"
jumpserver,"87","90","298"
JunMa11,"2","31","3"
jupyter,"0","7","31"
jupyter-naas,"2","5","27"
jupyterhub,"81","183","173"
Just-Jojo,"21","36","15"
just1ngray,"18","138","26"
Justin-Sawyer,"323","360","570"
justinrubek,"0","2","6"
justpwned,"0","1","2"
jwyang,"6","110","10"
jyoonab,"20","17","13"
k1995,"0","3","3"
ka-zu-ki,"0","51","1"
kaal0408,"10","19","214"
kadalu,"7","13","23"
Kaggle,"53","62","57"
KAIDO0121,"0","0","12"
kangxiatao,"0","4","13"
Kanin,"0","4","13"
Karaage-Cluster,"56","31","170"
karpathy,"0","4","12"
Karuka3,"0","0","1"
KawamitsuGo,"682","594","686"
kayoyin,"2","14","18"
keiqu,"0","15","26"
keithito,"1","25","13"
kekevi,"826","1288","1026"
KennedyProject,"0","0","3"
keras-rl,"28","50","28"
keras-team,"518","1666","594"
