"Organization","DynCount","FuncCount","DecCount"
linz,"1","3","7"
Linzaer,"10","55","5"
liqd,"98","94","165"
lisa-606,"7","14","74"
liskin,"2","20","19"
litex-hub,"9","22","1"
liubomyrgavryliv,"3","3","0"
lmugabo,"2","3","0"
localstack,"113","538","354"
log2timeline,"324","184","284"
loganbvh,"7","54","23"
Lonero-Team,"22","194","205"
longld,"23","8","15"
losjeu,"3","113","3"
lubianat,"1","9","0"
lucidrains,"2","40","3"
Lucky3337,"2","3","1"
ludwig-ai,"25","405","597"
LuisAlvarez123,"323","290","279"
luisxgarcia,"10","19","214"
lukasindre,"1","4","0"
lukemelas,"1","19","10"
luku756,"133","80","22"
lululxvi,"13","137","44"
luojiahai,"52","39","0"
Luos-io,"2","10","78"
Lupercio421,"1886","3091","2226"
lutris,"40","196","290"
luxonis,"14","57","12"
lxuanhui,"1484","2012","1306"
LynMains,"1","0","0"
lyst,"1","28","1"
m-fidalgo,"1","0","8"
M0nster92,"805","910","1004"
m485liuw,"929","5365","1791"
macielf1994,"346","278","309"
madmaze,"1","20","4"
maekke,"1","0","2"
magnetohvcs,"1","0","0"
MaiHon,"15","40","1"
mailpile,"81","854","122"
makeesyai,"1","35","0"
malwaredllc,"178","194","26"
ManimCommunity,"139","560","240"
ManimEditorProject,"2","4","1"
manuelcortez,"230","53","7"
MarcAntoineAlex,"1","32","2"
mariadb-corporation,"1","0","3"
MarkaGK,"1","17","0"
markctm,"1","6","5"
MarketSquare,"4","36","46"
marksun2020,"1292","1915","1750"
marshmallow-code,"48","137","50"
martinet101,"1","51","0"
maskedmeerkat,"3","1","0"
MatAfan,"622","1067","796"
matchpointer,"2","155","40"
mateog91,"11","1","0"
math280h,"2","1","0"
matieo33,"769","1203","849"
matrix-org,"136","1330","527"
matthewivezaj73,"1696","1848","1509"
MatthiasValvekens,"23","56","29"
maurosoria,"204","263","272"
max-moser,"7","6","22"
mcbeet,"8","71","67"
mdbloice,"1","30","17"
mdswyz,"1","4","0"
meanmedianmoge,"1","33","19"
meerk40t,"14","44","49"
MegaIng,"1","29","14"
Megvii-BaseDetection,"21","76","18"
mementum,"345","194","58"
meolu,"1","5","0"
meongbaeksu,"2","65","1"
mher,"17","58","16"
mholtrop,"49","82","17"
mhostetter,"52","187","171"
michael-lazar,"66","63","122"
michaelobi99,"572","868","636"
Micronaet,"9","162","0"
microsoft,"467","1747","615"
midigi,"1","7","16"
Mikaspe,"2","1","3"
Mini-Exploit,"21","24","16"
mininet,"30","92","53"
mir-group,"107","7","94"
Miserlou,"18","39","34"
missachu108,"5","7","24"
mizolotu,"1","37","2"
mkdocs,"7","56","23"
mksa1,"8","17","11"
mlco2,"4","64","105"
mlflow,"133","1066","560"
mobolic,"2","3","1"
modin-project,"240","1371","529"
mohaksehgal,"623","1078","722"
mohamedbougarn,"638","1716","312"
Mohammed785,"1","12","81"
Mokkuman,"32","112","87"
molssi-seamm,"12","12","11"
momanrazainvozone,"902","1425","1175"
monash-emu,"12","580","30"
mondeja,"3","7","1"
montarion,"15","6","1"
mooz,"6","40","12"
mopeyjellyfish,"9","6","13"
mopidy,"34","97","18"
MorvanZhou,"9","68","7"
mozilla,"30","85","71"
mozman,"64","809","754"
mph-,"57","145","755"
mps-youtube,"9","87","8"
mrismanaziz,"7","53","16"
MrMechanics,"32","26","6"
mrR2D2,"2","14","1"
MrS0m30n3,"2","15","5"
MrTeale,"12","0","9"
msbetsy,"1","19","50"
msiemens,"4","32","7"
mstamy2,"13","76","2"
mtitze,"5","46","1"
Mugambi645,"1","0","9"
MuhammadZain795,"1387","1543","1362"
muhdharun,"1","4","10"
mujuaj,"1","4","0"
MulongXie,"3","24","0"
muyun,"1","126","3"
MVIG-SJTU,"18","194","68"
mwaskom,"67","315","109"
mwouts,"4","91","95"
my8100,"17","62","16"
n1nj4sec,"167","319","192"
NagarajanSuresh,"2","4","0"
namespace-Pt,"56","64","9"
NancyWachiuri,"286","210","127"
naomi-choy,"21","81","11"
nautobot,"235","293","372"
nbedos,"1","27","5"
NeCTAR-RC,"13","37","7"
nedbat,"98","176","23"
neptula,"15","7","1"
NervanaSystems,"89","551","166"
netbox-community,"238","240","314"
Netflix,"161","505","429"
neural-electrophysiology-tool-team,"9","59","9"
neuroevolution-ai,"16","32","64"
newsapps,"2","59","1"
newsrevenuehub,"14","45","22"
nextcloud,"8","65","6"
nhannh1526,"2","6","0"
Niangmodou,"2222","3411","3022"
nicholasjng,"10","54","14"
NicolasHug,"10","96","7"
nihongoka,"13","28","0"
nikitinvv,"2","1","0"
