"Project","DynCount","FuncCount","DecCount"
leetcode,"7","796","44"
LeetCode-Python,"0","236","2"
leetcodecn,"1","18","6"
legendary,"6","58","59"
les-novel,"0","2","3"
lesson-parallel-python,"0","17","13"
levensfilosofie.nu,"0","5","4"
Lezzetly,"0","1","4"
lhotse,"3","398","227"
library-api,"0","10","11"
librarysystem_backend_django,"0","0","1"
lifeline_crypto_tbot,"0","2","5"
lightfm,"1","28","1"
lightning-flash,"234","333","376"
lingvo,"153","1245","1061"
linux_users,"0","0","3"
LIP_JPPNet,"5","22","19"
litedram,"191","1394","65"
litex-boards,"9","22","1"
LLVM-embedded-toolchain-for-Arm,"0","14","5"
lm-evaluation-harness,"3","41","2"
loan,"0","0","1"
localbitcoins-sdk,"0","0","2"
localstack,"113","538","354"
logic_nodes,"1","29","14"
lolo_ws,"0","30","1"
lovpy,"22","80","9"
loxscript,"0","2","42"
lsqfit-gui,"13","36","4"
lsystem_Tree_Generation_Blender,"59","49","8"
Lucky-Gates-Host,"0","0","5"
ludwig,"25","405","597"
luminoth,"8","76","23"
lutris,"40","196","290"
Machine-Learn-for-solving-mazes,"6","25","30"
Machine-Learning-Collection,"1","84","2"
machine-learning-course,"0","10","3"
Machine_Learning_Course,"0","13","2"
machine_learning_examples,"2","365","13"
maestro,"2","76","59"
maigret,"1","60","19"
mailer,"0","0","3"
Mailpile,"81","854","122"
mailru_python_backend,"0","5","4"
maltrail,"58","22","2"
Man-Userbot,"7","53","16"
manga-ocr,"0","5","37"
manim,"139","560","240"
manim_editor,"2","4","1"
map-machine,"0","44","33"
map-stp,"0","11","8"
MAPFLIX,"1791","2554","2569"
Margray-Engine,"4","3","1"
markdown,"8","19","6"
marshmallow,"48","137","50"
maskrcnn-benchmark,"19","234","30"
mask_recognition,"32","92","13"
massbalance-sandbox,"17","30","30"
MASTER-paddle,"1","20","2"
math_challenge_eval,"0","31","10"
Maya-Coding-Class,"0","0","2038"
maybe,"0","39","3"
mazes-for-programmers,"0","2","5"
McServerManager,"1","0","1"
mecha,"8","71","67"
mechanicalmonkey,"6","5","54"
medimops-momox-data,"0","6","2"
MeetingSummarization,"5","191","26"
meetup,"1","0","2"
MemTorch,"26","38","6"
menu,"0","8","3"
Meowassistant,"10","19","214"
mercadolibre-bot,"0","3","1"
MERD-backend,"0","0","4"
mergen,"0","0","1"
meshroom,"32","292","77"
